"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2021-12-31 23:00:00",13.58,4.486,85.1,,,235.5,0,0,0,,,,,,,,,,,,
"2021-12-31 22:00:00",13.56,3.26,84.4,,,227.8,0,0,0,,,,,,,,,,,,
"2021-12-31 21:00:00",13.55,2.343,84.2,,,229.2,0,0,0,,,,,,,,,,,,
"2021-12-31 20:00:00",13.53,1.913,83.5,,,227.7,0,0,0,,,,,,,,,,,,
"2021-12-31 19:00:00",13.51,2.279,83.8,,,234.5,0,0,0,,,,,,,,,,,,
"2021-12-31 18:00:00",13.49,2.952,85,,,229.5,0,0,0,,,,,,,,,,,,
"2021-12-31 17:00:00",13.46,5.269,85.8,,,182.6,0,0,0,,,,,,,,,,,,
"2021-12-31 16:00:00",13.43,6.368,87.4,,,257.9,0.004,0,0.07,,,,,,,,,,,,
"2021-12-31 15:00:00",13.43,11.14,89.7,,,159,0.012,0,0.07,,,,,,,,,,,,
"2021-12-31 14:00:00",13.45,15.18,93.8,,,78.22,0.009,0,0.07,,,,,,,,,,,,
"2021-12-31 13:00:00",13.47,17.38,93.8,,,257.2,0.014,0,0.07,,,,,,,,,,,,
"2021-12-31 12:00:00",13.5,17.5,93.9,,,115.4,0.008,0,0.07,,,,,,,,,,,,
"2021-12-31 11:00:00",13.56,15.19,92.1,,,195.4,5.955,0,21.32,,,,,,,,,,,,
"2021-12-31 10:00:00",13.62,13.12,92.3,,,230,12.99,0,34.68,,,,,,,,,,,,
"2021-12-31 09:00:00",13.65,9.39,89.7,,,247.1,17.63,2.587,36.91,,,,,,,,,,,,
"2021-12-31 08:00:00",13.65,9.08,89.6,,,254,23.69,14.12,35.45,,,,,,,,,,,,
"2021-12-31 07:00:00",13.65,9.08,89.6,,,246.3,21.54,12.09,35.24,,,,,,,,,,,,
"2021-12-31 06:00:00",13.65,9.2,89.7,,,227.4,17.39,11.19,25.94,,,,,,,,,,,,
"2021-12-31 05:00:00",13.65,9.45,89.7,,,229.3,20.72,11.12,29.99,,,,,,,,,,,,
"2021-12-31 04:00:00",13.65,9.14,89.7,,,230.5,22.4,13.49,32.93,,,,,,,,,,,,
"2021-12-31 03:00:00",13.65,8.84,89.6,,,230.9,24.36,14.75,37.33,,,,,,,,,,,,
"2021-12-31 02:00:00",13.65,8.78,89.6,,,225.8,30.9,20.83,42.93,,,,,,,,,,,,
"2021-12-31 01:00:00",13.64,8.96,89.7,,,234.2,33.1,20.41,46.77,,,,,,,,,,,,
"2021-12-31 00:00:00",13.63,10.12,90.2,,,235.3,31.59,19.37,47.89,,,,,,,,,,,,
"2021-12-30 23:00:00",13.62,10.55,90.5,,,247.1,35.09,23.49,47.96,,,,,,,,,,,,
"2021-12-30 22:00:00",13.62,11.35,90.8,,,251.8,32.16,5.383,47.61,,,,,,,,,,,,
"2021-12-30 21:00:00",13.61,13.24,91.7,,,235.1,29.36,0,47.4,,,,,,,,,,,,
"2021-12-30 20:00:00",13.61,13.17,91.7,,,239.9,33.42,5.732,55.92,,,,,,,,,,,,
"2021-12-30 19:00:00",13.6,13.66,92,,,235.5,34.41,21.81,50.96,,,,,,,,,,,,
"2021-12-30 18:00:00",13.59,14.7,92.5,,,234.5,33.45,21.46,50.89,,,,,,,,,,,,
"2021-12-30 17:00:00",13.59,15.92,93.2,,,228.6,37.57,7.269,54.66,,,,,,,,,,,,
"2021-12-30 16:00:00",13.58,16.01,93.3,,,232.5,32.82,12.3,56.47,,,,,,,,,,,,
"2021-12-30 15:00:00",13.57,16.62,93.7,,,229.3,34.44,6.5,50.18,,,,,,,,,,,,
"2021-12-30 14:00:00",13.55,16.53,93.7,,,231.8,30.63,2.586,59.27,,,,,,,,,,,,
"2021-12-30 13:00:00",13.57,16.96,94.1,,,232.2,32.68,3.635,52.99,,,,,,,,,,,,
"2021-12-30 12:00:00",13.58,17.43,94.5,,,229,33.36,5.453,52.85,,,,,,,,,,,,
"2021-12-30 11:00:00",13.61,16.09,93.6,,,230.8,32.44,2.796,52.22,,,,,,,,,,,,
"2021-12-30 10:00:00",13.67,16.09,93.8,,,238.5,30.46,5.034,45.38,,,,,,,,,,,,
"2021-12-30 09:00:00",13.73,15.68,93.2,,,224.5,28.99,4.474,56.7,,,,,,,,,,,,
"2021-12-30 08:00:00",13.71,14.34,92.3,,,220.9,31.69,5.105,60.19,,,,,,,,,,,,
"2021-12-30 07:00:00",13.62,12.35,91.3,,,221.8,38.18,6.153,58.86,,,,,,,,,,,,
"2021-12-30 06:00:00",13.61,10.39,90.3,,,227.2,43.1,29.64,57.6,,,,,,,,,,,,
"2021-12-30 05:00:00",13.59,9.59,90.1,,,228.7,41.37,28.52,61.02,,,,,,,,,,,,
"2021-12-30 04:00:00",13.58,10.63,90.5,,,239.4,46.43,34.53,60.1,,,,,,,,,,,,
"2021-12-30 03:00:00",13.56,12.4,91.5,,,241.4,48.85,33.69,64.09,,,,,,,,,,,,
"2021-12-30 02:00:00",13.54,14.48,92.6,,,239.3,47.77,31.87,59.48,,,,,,,,,,,,
"2021-12-30 01:00:00",13.53,15.58,93,,,242.6,43.54,28.37,55.77,,,,,,,,,,,,
"2021-12-30 00:00:00",13.51,14.17,92.3,,,246.5,42.9,29.77,52.28,,,,,,,,,,,,
"2021-12-29 23:00:00",13.51,15.64,92.2,,,245.1,39.44,23.2,48.22,,,,,,,,,,,,
"2021-12-29 22:00:00",13.5,15.21,92.3,,,248.1,38.35,20.97,53.25,,,,,,,,,,,,
"2021-12-29 21:00:00",13.49,18.63,93.9,,,275.4,1.468,0,36.62,,,,,,,,,,,,
"2021-12-29 20:00:00",13.48,16.62,92.6,,,268.4,0.002,0,0.07,,,,,,,,,,,,
"2021-12-29 19:00:00",13.46,12.52,90,,,214.8,0.001,0,0.07,,,,,,,,,,,,
"2021-12-29 18:00:00",13.44,14.28,89.7,,,202.4,0.001,0,0.07,,,,,,,,,,,,
"2021-12-29 17:00:00",13.42,11.41,88.3,,,217.7,0.027,0,3.634,,,,,,,,,,,,
"2021-12-29 16:00:00",13.4,12.45,88.3,,,217.1,0.001,0,0.07,,,,,,,,,,,,
"2021-12-29 15:00:00",13.4,14.52,88.7,,,216.6,0.002,0,0.07,,,,,,,,,,,,
"2021-12-29 14:00:00",13.38,16.06,89.7,,,204.7,0.003,0,0.07,,,,,,,,,,,,
