"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2022-06-01 16:00:00",13.15,50.69,67.86,0,90.1,,,,,1017,,,-11.75,,,,,,,,
"2022-06-01 15:00:00",13.14,51.85,64.7,0,89.8,,,,,1017,,,-8.65,,,,,,,,
"2022-06-01 14:00:00",13.14,51.35,63.23,0,89.6,,,,,1018,,,-7.786,,,,,,,,
"2022-06-01 13:00:00",13.15,52.9,61.41,0,90.3,,,,,1018,,,-9.45,,,,,,,,
"2022-06-01 12:00:00",13.16,52.46,61.68,0,90.2,,,,,1018,,,-14.42,,,,,,,,
"2022-06-01 11:00:00",13.18,51.99,59.79,0,90.7,,,,,1018,,,-20.05,,,,,,,,
"2022-06-01 10:00:00",13.21,50.11,62.28,0,90.4,,,,,1018,,,-23.62,,,,,,,,
"2022-06-01 09:00:00",13.23,48.06,65.06,0,91,,,,,1018,,,-32.36,,,,,,,,
"2022-06-01 08:00:00",13.26,46.35,68.85,0,91.2,,,,,1018,,,-42.29,,,,,,,,
"2022-06-01 07:00:00",13.29,43.7,76.9,0,91.3,,,,,1018,,,-47.19,,,,,,,,
"2022-06-01 06:00:00",13.29,41.89,79.66,0,92,,,,,1018,,,-48.56,,,,,,,,
"2022-06-01 05:00:00",13.3,41.98,78.65,0,91.9,,,,,1018,,,-47.89,,,,,,,,
"2022-06-01 04:00:00",13.33,41.79,78.86,0,91.9,,,,,1018,,,-48.23,,,,,,,,
"2022-06-01 03:00:00",13.34,41.99,74.32,0,91.9,,,,,1018,,,-50.03,,,,,,,,
"2022-06-01 02:00:00",13.36,42.2,71.39,0,91.9,,,,,1019,,,-48.1,,,,,,,,
"2022-06-01 01:00:00",13.4,41.65,70.91,0,92,,,,,1019,,,-49.2,,,,,,,,
"2022-06-01 00:00:00",13.43,41.62,68.55,0,92.1,,,,,1019,,,-51.34,,,,,,,,
"2022-05-31 23:00:00",13.44,40.98,72.61,0,92.2,,,,,1019,,,-54.78,,,,,,,,
"2022-05-31 22:00:00",13.43,40.23,79.68,0,92,,,,,1019,,,-47.57,,,,,,,,
"2022-05-31 21:00:00",13.4,41.78,79.6,0,91.9,,,,,1019,,,-35.2,,,,,,,,
"2022-05-31 20:00:00",13.36,43.6,73.65,0,91.9,,,,,1019,,,-21.53,,,,,,,,
"2022-05-31 19:00:00",13.33,47.98,63.75,0,91.5,,,,,1019,,,-11.4,,,,,,,,
