"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2022-06-01 16:00:00",13.31,47.07,76.21,,,164.4,0,0,0,,,,,,,,,,,,
"2022-06-01 15:00:00",13.29,50.79,65.01,,,208.5,0,0,0.07,,,,,,,,,,,,
"2022-06-01 14:00:00",13.33,45.35,76.99,,,197.2,0,0,0.07,,,,,,,,,,,,
"2022-06-01 13:00:00",13.34,49.21,66.81,,,232.7,0,0,0.07,,,,,,,,,,,,
"2022-06-01 12:00:00",13.34,46.09,72.58,,,214.2,0,0,0,,,,,,,,,,,,
"2022-06-01 11:00:00",13.36,43.59,75.99,,,280,0.001,0,0.07,,,,,,,,,,,,
"2022-06-01 10:00:00",13.38,45,67.67,,,106.9,0.001,0,0.07,,,,,,,,,,,,
"2022-06-01 09:00:00",13.38,44.15,66.17,,,183.9,0,0,0.07,,,,,,,,,,,,
"2022-06-01 08:00:00",13.39,42.86,72.59,,,116.5,0,0,0.07,,,,,,,,,,,,
"2022-06-01 07:00:00",13.4,41.58,77.59,,,258.8,0.007,0,0.769,,,,,,,,,,,,
"2022-06-01 06:00:00",13.41,40.23,81,,,235,0.061,0,3.214,,,,,,,,,,,,
"2022-06-01 05:00:00",13.41,40.11,82.4,,,219.3,0.012,0,0.908,,,,,,,,,,,,
"2022-06-01 04:00:00",13.4,39.62,84.9,,,216.6,0.007,0,0.908,,,,,,,,,,,,
"2022-06-01 03:00:00",13.4,40.48,82,,,107.9,0.003,0,0.07,,,,,,,,,,,,
"2022-06-01 02:00:00",13.41,40.97,78.3,,,164.9,0.097,0,4.193,,,,,,,,,,,,
