"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2020-12-31 23:00:00",13.54,25.49,81.6,,,234.6,8,4.369,12.55,,,,,,,,,,,,
"2020-12-31 22:00:00",13.53,26.41,68.71,,,234.5,7.808,2.938,12.75,,,,,,,,,,,,
"2020-12-31 21:00:00",13.5,26.47,65.61,,,235.5,6.341,-0.06,14.27,,,,,,,,,,,,
"2020-12-31 20:00:00",13.51,25.86,73.72,,,232.7,2.314,-0.043,9.33,,,,,,,,,,,,
"2020-12-31 19:00:00",13.51,25.24,72.01,,,234.9,7.423,-0.017,16.62,,,,,,,,,,,,
"2020-12-31 18:00:00",13.51,24.26,85.9,,,233.5,4.565,-0.094,17.46,,,,,,,,,,,,
"2020-12-31 17:00:00",13.5,25.24,87.7,,,232,10.54,-0.034,28.6,,,,,,,,,,,,
"2020-12-31 16:00:00",13.49,25.12,88.4,,,272.1,18.9,6.788,29.79,,,,,,,,,,,,
"2020-12-31 15:00:00",13.49,24.14,91,,,301.7,16.53,6.455,26.14,,,,,,,,,,,,
"2020-12-31 14:00:00",13.48,25.18,90.7,,,252.3,21.29,6.115,30.82,,,,,,,,,,,,
"2020-12-31 13:00:00",13.47,25.24,90.5,,,269.2,29.25,15.26,41.59,,,,,,,,,,,,
"2020-12-31 12:00:00",13.46,24.81,91.2,,,249,34.45,20.8,44.57,,,,,,,,,,,,
"2020-12-31 11:00:00",13.49,25.24,91.1,,,262.7,34.74,21.77,44.45,,,,,,,,,,,,
"2020-12-31 10:00:00",13.53,24.94,91.4,,,259.6,32.5,19.53,43.39,,,,,,,,,,,,
"2020-12-31 09:00:00",13.55,25.06,91.4,,,242,26.73,9.22,43.63,,,,,,,,,,,,
"2020-12-31 08:00:00",13.54,24.63,91.5,,,278.5,21.89,8.8,40,,,,,,,,,,,,
"2020-12-31 07:00:00",13.54,24.32,91.3,,,248.2,19.01,4.786,33.1,,,,,,,,,,,,
"2020-12-31 06:00:00",13.54,24.38,91.3,,,220.9,16.62,2.734,32.18,,,,,,,,,,,,
"2020-12-31 05:00:00",13.54,24.39,91.3,,,251,20.35,3.901,38.88,,,,,,,,,,,,
"2020-12-31 04:00:00",13.54,24.63,91.3,,,257,23.79,7.375,41.25,,,,,,,,,,,,
"2020-12-31 03:00:00",13.54,25.31,91.8,,,245.8,22.49,2.955,41.69,,,,,,,,,,,,
"2020-12-31 02:00:00",13.54,25.61,91.8,,,261.8,16.49,1.661,41.95,,,,,,,,,,,,
"2020-12-31 01:00:00",13.55,25.31,91.7,,,247.4,21.64,5.92,36.97,,,,,,,,,,,,
"2020-12-31 00:00:00",13.55,24.82,91.7,,,253.1,20.09,5.196,38.21,,,,,,,,,,,,
"2020-12-30 23:00:00",13.55,24.33,91.3,,,246,14.75,2.155,33.72,,,,,,,,,,,,
"2020-12-30 22:00:00",13.54,23.83,91.3,,,256.1,13.73,3.049,29.93,,,,,,,,,,,,
"2020-12-30 21:00:00",13.52,24.63,91.5,,,249.8,10.48,1.78,25.62,,,,,,,,,,,,
"2020-12-30 20:00:00",13.52,24.45,91.3,,,122.9,10.94,2.938,21.81,,,,,,,,,,,,
"2020-12-30 19:00:00",13.52,24.32,91.3,,,175.3,10.85,2.504,27.3,,,,,,,,,,,,
"2020-12-30 18:00:00",13.52,24.08,91.3,,,233,16.01,3.262,38.39,,,,,,,,,,,,
"2020-12-30 17:00:00",13.51,24.63,91.4,,,258.8,11.17,1.916,23.54,,,,,,,,,,,,
"2020-12-30 16:00:00",13.5,24.75,91.5,,,281.7,11.53,2.393,24.53,,,,,,,,,,,,
"2020-12-30 15:00:00",13.5,24.69,91.4,,,203,12.81,0.673,28.11,,,,,,,,,,,,
"2020-12-30 14:00:00",13.48,25,91.4,,,285.1,16,4.48,40.71,,,,,,,,,,,,
"2020-12-30 13:00:00",13.47,24.38,91.2,,,200.7,16.46,4.599,30.14,,,,,,,,,,,,
"2020-12-30 12:00:00",13.49,24.02,91.2,,,232.5,14.17,2.887,27.05,,,,,,,,,,,,
"2020-12-30 11:00:00",13.5,24.51,91.4,,,205,14.02,2.555,26.02,,,,,,,,,,,,
"2020-12-30 10:00:00",13.54,23.9,91,,,223.3,17.65,6.039,35.53,,,,,,,,,,,,
"2020-12-30 09:00:00",13.55,22.67,89.8,,,260.2,16.77,3.049,33.36,,,,,,,,,,,,
"2020-12-30 08:00:00",13.54,24.39,86.7,,,237.9,13.94,2.87,32.35,,,,,,,,,,,,
"2020-12-30 07:00:00",13.54,25.37,91.9,,,290.8,11.22,2.683,29.53,,,,,,,,,,,,
"2020-12-30 06:00:00",13.54,28.68,95.2,,,262.5,10.51,2.027,26.45,,,,,,,,,,,,
"2020-12-30 05:00:00",13.54,25.06,92,,,220.8,12.46,3.236,26.64,,,,,,,,,,,,
"2020-12-30 04:00:00",13.53,23.46,91.1,,,156.9,15.6,2.938,32.31,,,,,,,,,,,,
"2020-12-30 03:00:00",13.53,24.02,91.5,,,248,17.1,3.935,31.85,,,,,,,,,,,,
"2020-12-30 02:00:00",13.53,27.02,93.3,,,244.7,17.66,5.715,29.92,,,,,,,,,,,,
"2020-12-30 01:00:00",13.54,28.62,94.6,,,265.8,10.8,1.448,20.98,,,,,,,,,,,,
"2020-12-30 00:00:00",13.54,26.84,89.2,,,224.5,16.31,4.667,27.8,,,,,,,,,,,,
"2020-12-29 23:00:00",13.55,27.58,86.6,,,261.8,13.36,3.211,27.96,,,,,,,,,,,,
"2020-12-29 22:00:00",13.54,23.65,74.06,,,227.2,24.72,9.62,38.43,,,,,,,,,,,,
"2020-12-29 21:00:00",13.53,24.51,74.4,,,260.8,26.01,13.45,37.36,,,,,,,,,,,,
"2020-12-29 20:00:00",13.53,24.38,70.65,,,258.6,26.34,13.7,38.45,,,,,,,,,,,,
"2020-12-29 19:00:00",13.55,24.63,74.78,,,245.5,27.94,13.04,44.73,,,,,,,,,,,,
"2020-12-29 18:00:00",13.55,26.29,71.88,,,264.9,25.85,10.83,34.84,,,,,,,,,,,,
"2020-12-29 17:00:00",13.55,27.64,44.7,,,278.8,25.84,14.26,34.71,,,,,,,,,,,,
"2020-12-29 16:00:00",13.54,28.44,49.09,,,271.2,25.53,14.13,35.87,,,,,,,,,,,,
"2020-12-29 15:00:00",13.54,28.38,19.73,,,277.5,21.73,8.98,32.58,,,,,,,,,,,,
"2020-12-29 14:00:00",13.54,29.79,17.07,,,259.2,19.76,12.43,27.1,,,,,,,,,,,,
