"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2020-12-31 23:00:00",13.81,30.02,96.1,0,71.61,,,,,1017.534,,,2.688,,,,,,,,
"2020-12-31 22:00:00",13.8,29.64,96.1,0,71.5,,,,,1017.221,,,2.694,,,,,,,,
"2020-12-31 21:00:00",13.81,30.01,96,0,72.57,,,,,1017.242,,,2.694,,,,,,,,
"2020-12-31 20:00:00",13.81,30.02,96.2,0,78.81,,,,,1017.534,,,2.688,,,,,,,,
"2020-12-31 19:00:00",13.81,29.41,96.1,0,78.95,,,,,1017.118,,,2.756,,,,,,,,
"2020-12-31 18:00:00",13.81,29.41,96.2,0,74.29,,,,,1017.663,,,2.69,,,,,,,,
"2020-12-31 17:00:00",13.8,29.16,95.8,0,72.94,,,,,1017.396,,,2.689,,,,,,,,
"2020-12-31 16:00:00",13.79,28.66,95.8,0.01,75.46,,,,,1017.481,,,2.765,,,,,,,,
"2020-12-31 15:00:00",13.78,29.15,96.4,0.01,79.05,,,,,1016.942,,,2.695,,,,,,,,
"2020-12-31 14:00:00",13.77,30.49,96.6,0.03,75.92,,,,,1016.27,,,2.43,,,,,,,,
"2020-12-31 13:00:00",13.77,30.98,96.5,0.01,72.44,,,,,1015.592,,,2.495,,,,,,,,
"2020-12-31 12:00:00",13.77,30.74,96.3,0.02,72.45,,,,,1015.047,,,2.43,,,,,,,,
"2020-12-31 11:00:00",13.78,30.86,96.3,0.05,77.06,,,,,1014.63,,,2.298,,,,,,,,
"2020-12-31 10:00:00",13.78,30.25,96.5,0.05,72.99,,,,,1014.495,,,2.164,,,,,,,,
"2020-12-31 09:00:00",13.77,30.37,96.4,0.06,72.85,,,,,1013.414,,,1.897,,,,,,,,
"2020-12-31 08:00:00",13.77,29.76,96.4,0.07,71.98,,,,,1013.02,,,1.63,,,,,,,,
"2020-12-31 07:00:00",13.78,29.52,96.3,0.1,72.25,,,,,1012.746,,,1.297,,,,,,,,
"2020-12-31 06:00:00",13.77,29.51,96.3,0.09,71.59,,,,,1012.465,,,0.832,,,,,,,,
"2020-12-31 05:00:00",13.77,29.39,96.5,0.05,71.39,,,,,1011.384,,,0.498,,,,,,,,
"2020-12-31 04:00:00",13.76,30,96.5,0.05,70.98,,,,,1010.977,,,9.96,,,,,,,,
"2020-12-31 03:00:00",13.76,30.37,96.6,0.06,71.25,,,,,1010.313,,,9.83,,,,,,,,
"2020-12-31 02:00:00",13.76,30.61,96.8,0.08,71.13,,,,,1010.021,,,9.63,,,,,,,,
"2020-12-31 01:00:00",13.77,30.37,96.8,0.07,70.92,,,,,1009.894,,,9.43,,,,,,,,
"2020-12-31 00:00:00",13.75,30.01,96.2,0.08,70.73,,,,,1009.221,,,9.23,,,,,,,,
"2020-12-30 23:00:00",13.76,29.52,96.2,0.09,70.44,,,,,1009.488,,,8.76,,,,,,,,
"2020-12-30 22:00:00",13.76,29.03,96,0.06,70.33,,,,,1009.478,,,8.37,,,,,,,,
"2020-12-30 21:00:00",13.75,29.52,95.9,0.11,70.18,,,,,1008.942,,,8.16,,,,,,,,
"2020-12-30 20:00:00",13.75,29.27,95.9,0.08,69.86,,,,,1008.672,,,7.699,,,,,,,,
"2020-12-30 19:00:00",13.75,29.39,96,0.02,69.53,,,,,1008.67,,,7.366,,,,,,,,
"2020-12-30 18:00:00",13.75,29.27,95.7,0.04,69.58,,,,,1008.542,,,7.23,,,,,,,,
"2020-12-30 17:00:00",13.75,29.52,96.1,0.09,69.25,,,,,1008.268,,,6.831,,,,,,,,
"2020-12-30 16:00:00",13.74,29.15,95.5,0.11,67.52,,,,,1008.411,,,5.83,,,,,,,,
"2020-12-30 15:00:00",13.74,29.88,95.5,0.09,67.19,,,,,1009.075,,,5.031,,,,,,,,
"2020-12-30 14:00:00",13.74,30.13,94.9,0.15,66.99,,,,,1009.351,,,30.03,,,,,,,,
"2020-12-30 13:00:00",13.74,29.52,94.9,0.12,66.59,,,,,1010.031,,,3.498,,,,,,,,
"2020-12-30 12:00:00",13.75,29.27,94.8,0.15,65.78,,,,,1010.708,,,2.83,,,,,,,,
"2020-12-30 11:00:00",13.76,28.55,93.8,0.07,73.77,,,,,1011.679,,,1.294,,,,,,,,
"2020-12-30 10:00:00",13.75,28.91,90,0.01,69.73,,,,,1012.608,,,0.698,,,,,,,,
"2020-12-30 09:00:00",13.76,28.18,90.2,0.02,75.06,,,,,1013.691,,,0.497,,,,,,,,
"2020-12-30 08:00:00",13.74,30.86,76.97,0,62.98,,,,,1014.635,,,0.296,,,,,,,,
"2020-12-30 07:00:00",13.76,31.96,82.7,0.01,63.78,,,,,1014.369,,,0.497,,,,,,,,
"2020-12-30 06:00:00",13.76,29.39,94.5,0.1,62.98,,,,,1014.903,,,45.83,,,,,,,,
"2020-12-30 05:00:00",13.77,29.15,93.4,0.05,62.65,,,,,1016.131,,,1.697,,,,,,,,
"2020-12-30 04:00:00",13.77,29.16,91.3,0.03,62.25,,,,,1017.093,,,1.296,,,,,,,,
"2020-12-30 03:00:00",13.75,29.27,91.8,0.03,62.32,,,,,1017.884,,,1.097,,,,,,,,
"2020-12-30 02:00:00",13.76,31.35,90.2,0.01,61.19,,,,,1018.159,,,0.898,,,,,,,,
"2020-12-30 01:00:00",13.77,29.27,91.2,0.02,61.58,,,,,1018.031,,,0.828,,,,,,,,
