"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2021-12-31 23:00:00",13.78,5.455,84.5,0,89.5,,,,,1012,,,2.311,,,,,,,,
"2021-12-31 22:00:00",13.8,5.115,84.2,0,89.6,,,,,1012,,,2.311,,,,,,,,
"2021-12-31 21:00:00",13.81,5.283,84.6,0,89.8,,,,,1011,,,2.511,,,,,,,,
"2021-12-31 20:00:00",13.82,5.537,84.5,0,89.3,,,,,1011,,,1.977,,,,,,,,
"2021-12-31 19:00:00",13.84,5.569,84.5,0,90.3,,,,,1010,,,2.644,,,,,,,,
"2021-12-31 18:00:00",13.9,4.289,84.3,0,90.5,,,,,1010,,,2.778,,,,,,,,
"2021-12-31 17:00:00",13.87,4.59,83.9,0,91.2,,,,,1009,,,2.911,,,,,,,,
"2021-12-31 16:00:00",13.83,7.894,84.7,0,91,,,,,1008,,,2.526,,,,,,,,
"2021-12-31 15:00:00",13.81,11.02,86.6,0,91.2,,,,,1008,,,1.124,,,,,,,,
"2021-12-31 14:00:00",13.79,12.53,87,0,91.1,,,,,1007,,,-0.11,,,,,,,,
"2021-12-31 13:00:00",13.78,13.8,87.4,0.01,91.4,,,,,1006,,,0.325,,,,,,,,
"2021-12-31 12:00:00",13.78,14.52,87.9,0,91.6,,,,,1006,,,0.592,,,,,,,,
"2021-12-31 11:00:00",13.79,14.16,88.6,0,92.1,,,,,1006,,,1.792,,,,,,,,
"2021-12-31 10:00:00",13.8,15.8,88.5,0.01,93,,,,,1005,,,2.129,,,,,,,,
"2021-12-31 09:00:00",13.83,16.38,89.4,0,93.3,,,,,1004,,,1.992,,,,,,,,
"2021-12-31 08:00:00",13.91,16.51,89.8,0.01,93.9,,,,,1003,,,1.992,,,,,,,,
"2021-12-31 07:00:00",13.91,16.6,89.8,0.03,92.2,,,,,1003,,,0.557,,,,,,,,
"2021-12-31 06:00:00",13.91,16.55,89.8,0.03,92,,,,,1003,,,0.39,,,,,,,,
"2021-12-31 05:00:00",13.91,16.82,89.9,0.05,92.5,,,,,1003,,,33.42,,,,,,,,
"2021-12-31 04:00:00",13.91,16.68,89.9,0.05,90.6,,,,,1002,,,18.81,,,,,,,,
"2021-12-31 03:00:00",13.9,16.32,90,0.07,90.4,,,,,1002,,,18.47,,,,,,,,
"2021-12-31 02:00:00",13.89,16.23,89.8,0.03,89.4,,,,,1002,,,17.21,,,,,,,,
"2021-12-31 01:00:00",13.85,16.02,89.4,0.04,89.4,,,,,1001,,,17.01,,,,,,,,
"2021-12-31 00:00:00",13.81,17.24,89.9,0.02,89.4,,,,,1001,,,16.54,,,,,,,,
"2021-12-30 23:00:00",13.75,17.6,90.3,0.05,89,,,,,1000,,,16.05,,,,,,,,
"2021-12-30 22:00:00",13.69,18.41,90.6,0.12,88.1,,,,,1000,,,15.28,,,,,,,,
"2021-12-30 21:00:00",13.64,19.98,91.6,0.1,87,,,,,1000,,,13.65,,,,,,,,
"2021-12-30 20:00:00",13.6,20.04,91.4,0.05,86.2,,,,,1000,,,12.65,,,,,,,,
"2021-12-30 19:00:00",13.57,20.42,91.7,0.07,86.1,,,,,999,,,12.42,,,,,,,,
"2021-12-30 18:00:00",13.55,21.49,92.3,0.09,85.8,,,,,999,,,11.79,,,,,,,,
"2021-12-30 17:00:00",13.52,22.62,92.6,0.06,85.2,,,,,999,,,11.02,,,,,,,,
"2021-12-30 16:00:00",13.51,22.57,92.8,0.1,85,,,,,999,,,10.42,,,,,,,,
"2021-12-30 15:00:00",13.5,22.33,92.6,0.09,83.7,,,,,999,,,8.82,,,,,,,,
"2021-12-30 14:00:00",13.5,22.12,92.5,0.11,83.4,,,,,998,,,8.36,,,,,,,,
"2021-12-30 13:00:00",13.49,21.98,92.1,0.1,82.2,,,,,998,,,6.956,,,,,,,,
"2021-12-30 12:00:00",13.49,21.96,91.7,0.08,81.8,,,,,998,,,5.621,,,,,,,,
"2021-12-30 11:00:00",13.5,21.61,91.5,0.07,81.6,,,,,999,,,4.822,,,,,,,,
"2021-12-30 10:00:00",13.56,21.45,91.4,0.03,81.4,,,,,998,,,4.22,,,,,,,,
"2021-12-30 09:00:00",13.41,22.45,92.3,0.14,81.3,,,,,997,,,3.222,,,,,,,,
"2021-12-30 08:00:00",13.44,21.04,92,0.12,80.1,,,,,997,,,1.819,,,,,,,,
"2021-12-30 07:00:00",13.45,19.04,91,0.05,79.48,,,,,998,,,0.815,,,,,,,,
"2021-12-30 06:00:00",13.45,17.28,90,0.03,79.25,,,,,1000,,,4.076,,,,,,,,
"2021-12-30 05:00:00",13.45,16.43,89.1,0,79.28,,,,,1000,,,3.741,,,,,,,,
"2021-12-30 04:00:00",13.44,16.62,89,0,79.39,,,,,1000,,,3.141,,,,,,,,
