"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2022-06-01 16:00:00",13.48,45.76,70.84,,,120.5,0.035,0,1.669,,,,,,,,,,,,
"2022-06-01 15:00:00",13.5,48.99,62.65,,,35.07,0.071,0,2.453,,,,,,,,,,,,
"2022-06-01 14:00:00",13.5,46.72,66.09,,,30.86,0.456,0,5.451,,,,,,,,,,,,
"2022-06-01 13:00:00",13.5,44.68,69.53,,,192.9,0.027,0,0.136,,,,,,,,,,,,
"2022-06-01 12:00:00",13.5,43.49,71.12,,,176.3,0.045,0,0.818,,,,,,,,,,,,
"2022-06-01 11:00:00",13.49,44.48,65.48,,,135.6,0.287,0,2.759,,,,,,,,,,,,
"2022-06-01 10:00:00",13.47,44.59,63.16,,,166.6,0.038,0,0.715,,,,,,,,,,,,
"2022-06-01 09:00:00",13.43,43.2,64.86,,,159.5,0.389,0,3.78,,,,,,,,,,,,
"2022-06-01 08:00:00",13.42,43.06,66.23,,,150.2,0.187,0,2.452,,,,,,,,,,,,
"2022-06-01 07:00:00",13.42,42.57,68.63,,,239.5,0.131,0,2.52,,,,,,,,,,,,
"2022-06-01 06:00:00",13.42,41.47,71.15,,,120.3,0.3,0,3.372,,,,,,,,,,,,
"2022-06-01 05:00:00",13.42,41.64,70.6,,,257.1,0.106,0,1.941,,,,,,,,,,,,
"2022-06-01 04:00:00",13.42,41.58,72,,,102.6,0.063,0,2.827,,,,,,,,,,,,
"2022-06-01 03:00:00",13.42,41.96,66.7,,,77.02,0.022,0,0.817,,,,,,,,,,,,
"2022-06-01 02:00:00",13.42,42.63,65.01,,,289.4,0.014,0,0.068,,,,,,,,,,,,
"2022-06-01 01:00:00",13.42,42.66,62.82,,,330.8,1.233,0,6.369,,,,,,,,,,,,
"2022-06-01 00:00:00",13.42,40.89,59.22,,,20.51,8.3,3.78,13.42,,,,,,,,,,,,
"2022-05-31 23:00:00",13.43,40.35,61.96,,,22.73,7.663,5.007,11.34,,,,,,,,,,,,
"2022-05-31 22:00:00",13.43,40.58,64.37,,,17.39,7.4,4.734,10.11,,,,,,,,,,,,
"2022-05-31 21:00:00",13.43,39.23,75.59,,,16.68,9.85,5.551,16.04,,,,,,,,,,,,
"2022-05-31 20:00:00",13.43,39.98,73.93,,,15.57,7.725,3.985,12.74,,,,,,,,,,,,
"2022-05-31 19:00:00",13.45,41.46,68.82,,,25.75,5.218,1.771,10.59,,,,,,,,,,,,
